Date,User,IsVerified,Tweet,Likes,RT,User_location
,ORF Kolkata,False,.@SameerP_IND writes on how India's participation in multilateral #naval exercises such as '#Milan' bolsters India'… https://t.co/09Pk8zR0FF,0,0,"Kolkata, India"
,Pankaj Kudiya,False,@CopDisaster @PoojaAS__Ind Happy birthday,0,0,"Sangam Vihar, New Delhi"
,Farzana 🇮🇳,False,"@KurkuriShah 🤣🤣🤣🤣🤣🤣
LORD",1,0,
,🇮🇳 Abhijit 🇮🇳 ଜୟ ଜଗନ୍ନାଥ 🚩🕉,False,@Surjiyann Why China 🇨🇳 flag in name brother ???,0,0,
,Tokunbo Olatokun,False,@genakhena @Spectra_Ind_Ltd The poster boy come.dey use spoon chop am,0,0,"Lekki, lagos, nigeria"
,Chrome Industries,False,Don’t forget to enter our giveaway for a trip to @The1Moto with @super73. Enter now cause it ends on Friday.… https://t.co/EgGBjjbqj2,3,2,"Portland, OR"
,Fiza Sheikh🇮🇳,False,@SujataIndia1st @Maks_IND @sudhirchaudhary @dilip_inc @B2015Malar @Aak_Thu @vkjha62 @ParveenKader @KrisNair1… https://t.co/oudmtni1sn,2,0,"New Delhi, India"
,Gupta Ji,False,"@sun_usind @ranik54 Hahaha, wear a helmet sir.

I struggled with this in initial years of marriage. She'd expect me… https://t.co/n3DKNPjQkX",2,2,Bharat
,Fuzzy the SPOREWARDEN🍄,False,@touque42 Oh man a million suggestion. If you like the isometric style of D2 check out both The Ascent &amp; Weird West… https://t.co/oYZDEkBkYV,0,0,Ossu-Gol Necropolis 
,Devan Raj,False,"@ViCustomerCare #ViFanOfTheMatch 
#IPL2022 #LSGvDC 

Tapan Sharma (Ind) &amp; Rod Tucker (Aus)",0,0,
,Farzana 🇮🇳,False,@KurkuriShah Every 6 month🤣,1,0,
,Biswajeet Biswal,False,@Shehzad_Ind In odisha it's 114. Something now,0,0,"Berhampur, Odisha"
,Ridhi's Kuri🌸,False,"@Farzana_Ind Nobody:

Farzana's bone: https://t.co/3pmYlwwcJ9",1,1,Home is where Ridhi is 
,Singh,False,@NMMTA_Assn @MoHFW_INDIA @OfficeOf_MM @mansukhmandviya @PMOIndia @narendramodi We are thankful to MoHFW for restori… https://t.co/6Dy8TJw8Wb,0,0,india
,ermoxd,False,"@firebal_ind @india_fantasy That doesn't make him aira gaira player, maybe you're just dumb",0,0,
,Rajiv Seth,False,"@AamAadmiParty @ArvindKejriwal Is he lying? And if he is not, then you are. Accept it openly. You seem to be a big… https://t.co/sgvNx9ldkm",0,0,Gaziabad(UP)India
